label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,major_axis_length,minor_axis_length,area_bbox,extent,area_filled,area_convex,euler_number,intensity_max-0,intensity_max-1,intensity_mean-0,intensity_mean-1,intensity_min-0,intensity_min-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,inertia_tensor_eigvals-2,solidity,well_area
1,80.27460844201137,469.06809047729763,1228.769579409198,68,348,1125,97,576,1328,331177,243.05953327750436,21.872734757107185,1342236,0.24673529841249975,331386,607227,-167,7141.0,3252.0,639.9762815654469,335.07484215389354,118.0,142.0,4420.81962722897,2977.8176621416505,1490.8436176627956,0.5453924150276586,18064950
2,97.28854449179904,766.5499160532094,304.0051659563477,90,726,244,101,819,354,38715,104.61518541329957,9.507096922423573,112530,0.3440415889096241,38715,51651,-1,2413.0,4972.0,411.70047785096216,536.2597701149425,109.0,148.0,936.1006423618078,551.73609554757,393.40303600347335,0.7495498635069989,18064950
3,56.00120941482928,1224.5983812447669,2658.7805377244395,51,1201,2632,61,1246,2689,10749,58.57053163499742,8.362995097830035,25650,0.41906432748538014,10749,13653,1,228.0,1891.0,152.81700623313796,547.8877104846963,108.0,239.0,269.4009116961269,175.02234315062813,101.3725372461317,0.7872994946165678,18064950
4,38.78053793751468,2124.5070472163497,1756.6074113225277,34,2091,1724,45,2157,1794,17028,73.02197348926096,9.292457259595492,50820,0.33506493506493507,17028,27257,0,4829.0,759.0,548.6279069767442,288.3192389006343,114.0,147.0,471.8833322761181,270.92791870938686,209.59038975887213,0.6247202553472503,18064950
5,56.87809375221615,1245.6612297000213,1257.6165520175873,51,1212,1223,63,1295,1293,14101,96.22528029866004,9.745020426817495,69720,0.20225186460126218,14109,32119,-5,2081.0,1614.0,543.8050492872846,349.19544713140914,95.0,125.0,679.5183648412201,467.7134995837392,221.30140756938994,0.4390236308726922,18064950
6,82.60357052204078,1904.0248752009477,4102.317877993062,76,1850,4031,90,1972,4167,59095,141.5764219359768,11.588886149008637,232288,0.2544040157046425,59101,125580,-44,1401.0,2456.0,236.252694813436,423.82414755901516,85.0,114.0,1678.673411857503,1008.9092765184212,683.1943635565502,0.47057652492435104,18064950
7,43.607208668091694,1441.9187734945087,2250.708631237562,39,1409,2219,49,1474,2282,13567,70.2069981363239,8.288769522030215,40950,0.3313064713064713,13572,19314,-3,1948.0,202.0,782.3672145647527,163.04879486990492,401.0,116.0,390.51259435703207,249.88631437515627,147.4966500008095,0.7024438231334783,18064950
8,95.07223880597014,713.2490215588723,3780.4567164179102,91,678,3744,101,756,3819,15075,74.83541487292784,7.7744536301241975,58500,0.25769230769230766,15083,26306,-5,1012.0,406.0,481.06467661691545,179.93757877280265,212.0,138.0,511.36290265678883,283.03907242250904,234.36804315897493,0.5730631795027751,18064950
9,93.31558843917551,3004.025770886679,4378.5738914746225,81,2915,4302,101,3090,4462,212061,176.84321803543028,17.188055043940913,560000,0.37868035714285714,212328,293230,61,6941.0,1420.0,593.1399974535628,196.79541264070244,130.0,127.0,2700.6790412481196,1578.4476500660144,1151.7743148014595,0.7231899873819186,18064950
10,51.445762711864404,1227.8483050847458,1056.3627118644067,48,1202,1040,56,1260,1072,4720,51.721611708901065,6.229901937167906,14848,0.31788793103448276,4720,7330,-2,4451.0,202.0,1080.367372881356,147.323093220339,349.0,103.0,185.2302929958523,135.69683979565303,53.414621014872104,0.6439290586630286,18064950
11,94.9433710859427,933.7450144348212,420.0688429935598,90,890,377,101,979,457,22515,88.64383262438065,10.26493060755439,78320,0.28747446373850866,22520,42211,-25,1985.0,898.0,489.09669109482564,226.08461025982677,121.0,137.0,660.5500462953337,398.15489313585584,272.93203319726854,0.5333917699177939,18064950
12,62.167787042208566,2106.900432857257,304.77743756482886,53,2048,239,73,2173,379,100264,145.91421499049113,17.0059091224627,350000,0.2864685714285714,100298,170705,-46,4964.0,1541.0,598.7124291869465,237.26873055134445,121.0,129.0,1690.7133136637244,1079.0079540686363,640.6254541032341,0.5873524501332709,18064950
13,41.50288599153862,2351.6057279461493,2671.7343157762293,34,2285,2620,49,2415,2723,63583,135.74386895354553,11.581484514676358,200850,0.31656957928802587,63591,105377,-24,5238.0,1291.0,720.8789613575956,230.4842489344636,134.0,149.0,1381.1135229565123,928.0264371020517,466.50016421082944,0.6033859381079363,18064950
14,96.1757792094724,3796.629549016194,804.50888037611,89,3768,783,101,3822,826,11486,53.754226031886,10.9139138026524,27864,0.4122164800459374,11486,13660,1,15452.0,464.0,2170.8933484241684,192.43487724185965,284.0,142.0,223.50344207461416,150.43151653894085,84.98327698484596,0.8408491947291362,18064950
15,52.14512946979038,3082.7455610357583,1355.5334155363748,47,3048,1326,58,3112,1384,16220,64.56375263135561,9.438289271858244,40832,0.397237460815047,16220,20766,1,262.0,1827.0,164.25819975339087,546.9479038224414,116.0,231.0,360.9944048428101,212.87797291110763,157.02456236962993,0.7810844649908504,18064950
16,59.845879392182475,3444.2417412634195,1467.1558089898379,50,3373,1405,72,3493,1521,62782,126.29782563807744,15.066519948291132,306240,0.20500914315569488,62803,112689,-12,5075.0,2087.0,583.2231053486668,303.50965244815393,121.0,144.0,1212.2215750533624,808.9070392129232,426.0145381756646,0.5571262501220172,18064950
17,65.93376449598573,1533.842774308653,3554.0883140053525,62,1512,3531,71,1558,3579,8968,50.78437857746447,7.985349516633593,19872,0.45128824476650564,8968,11351,1,3615.0,235.0,1009.6383809099019,193.74553969669938,325.0,148.0,228.16909404308223,132.14094572010166,102.4047290132606,0.7900625495551052,18064950
18,86.51108080463689,4086.910671667235,2808.9178315717695,79,4054,2774,92,4115,2832,5866,74.36662078980294,12.904064172900641,45994,0.12753837457059616,5867,18628,-11,1351.0,611.0,394.89226048414594,233.272758267985,115.0,139.0,380.0679431484855,284.84545799363445,111.87397237268482,0.3149022976164913,18064950
19,98.85966567808035,3430.760447559989,343.31949312483147,96,3405,293,101,3465,381,7418,82.52767071118384,4.978945164666735,26400,0.2809848484848485,7418,11527,-17,1848.0,218.0,705.222027500674,172.02129954165542,316.0,120.0,457.11545653021756,341.78031639831744,117.81412962717594,0.643532575691854,18064950
